        gene_names       cfu       mys        unk      poly  earlyMean   lateMean      ratio
0           Slc4a1  1.602704  1.440708   9.603170  9.729573   1.521706   9.666372   6.352326
1         Tmem184a  0.881800  1.058565   8.838091  8.312915   0.970183   8.575503   8.839061
3          Mir3062  5.289897  5.612211   0.137504  0.137504   5.451054   0.137504   0.025225
4            Alas2  0.509515  1.707224   7.291935  7.754126   1.108370   7.523030   6.787473
5          Fam132b  0.677037  1.276395   7.716065  6.519558   0.976716   7.117811   7.287491
6          Csf2rb2  2.466630  1.411231   7.727342  8.016424   1.938930   7.871883   4.059910
7    2310046K01Rik  0.145778  0.212639   6.312769  5.795850   0.179209   6.054309  33.783552
10           Ypel4  0.311318  1.004396   6.484104  6.778892   0.657857   6.631498  10.080450
13        Arhgap23  3.368218  4.633553   9.876069  9.347486   4.000886   9.611778   2.402412
15           Tmcc2  3.494211  4.207729   9.348704  9.676269   3.850970   9.512486   2.470153
18          Csf2rb  5.138032  4.877450  10.627415  9.968580   5.007741  10.297998   2.056416
19            Ache  4.153967  3.834378   9.412320  9.227551   3.994172   9.319935   2.333383
21             Myb  5.932964  5.960519   1.165873  0.644763   5.946741   0.905318   0.152238
29         Slc38a5  0.234799  1.200843   5.786291  4.971281   0.717821   5.378786   7.493210
30           Rragd  0.830370  0.351529   4.782990  5.590228   0.590949   5.186609   8.776741
32           Evi5l  3.090821  3.163824   7.838536  8.039857   3.127323   7.939196   2.538656
33          Dnajb2  2.496606  1.918421   6.587788  7.025450   2.207513   6.806619   3.083388
35          Slc6a9  1.926068  1.794449   6.669083  6.277899   1.860258   6.473491   3.479888
42        Slc25a37  3.230553  3.103336   7.616615  7.532932   3.166945   7.574774   2.391824
44           Abhd4  2.557756  2.353888   7.149534  6.450182   2.455822   6.799858   2.768873
45         Rab3il1  0.842738  1.085853   5.372764  5.542824   0.964295   5.457794   5.659879
46         Ppp2r5b  2.295647  3.307066   7.442819  6.998432   2.801356   7.220626   2.577547
47           Mmp14  5.930650  4.888047   2.508198  1.457825   5.409348   1.983012   0.366590
48          Fam46c  3.691880  3.425945   8.228011  7.689229   3.558913   7.958620   2.236250
57          Dyrk1b  4.428424  3.533538   8.549519  7.842583   3.980981   8.196051   2.058802
62          Lgals9  5.177922  5.139240   1.307452  1.181408   5.158581   1.244430   0.241235
64        Map1lc3a  2.281259  3.163331   7.214436  6.500950   2.722295   6.857693   2.519085
66       Hmga1-rs1  7.245591  7.220272   2.935320  3.478713   7.232931   3.207017   0.443391
70            Fn3k  0.269551  0.271910   3.804198  4.404086   0.270731   4.104142  15.159507
78          Il1rl1  3.957998  3.694000   0.162713  0.166966   3.825999   0.164839   0.043084
80           Tubb1  0.137504  0.239591   3.676121  3.851679   0.188547   3.763900  19.962627
82           Cpne9  0.153714  0.578627   4.305803  3.707271   0.366170   4.006537  10.941732
83            Crat  2.965526  2.778339   6.620532  6.368372   2.871932   6.494452   2.261353
86           Matn1  0.627126  0.261285   3.392558  3.380034   0.444206   3.386296   7.623264
87            Wsb2  3.267459  3.612683   7.014366  7.265737   3.440071   7.140052   2.075554
92            Flna  4.505643  4.153830   0.839943  0.692339   4.329736   0.766141   0.176949
93            Uba7  3.277933  2.620863   5.853836  6.297312   2.949398   6.075574   2.059937
94        Tmem150a  1.649022  0.967951   4.586164  5.067497   1.308487   4.826830   3.688865
